feedback_id,comment_text,rating,channel
1,"Great platform, easy to use and fast execution.",5,app
2,App keeps crashing when I open the trading screen.,1,app
3,Really happy with the fast deposit process.,4,web
4,Withdrawal fees are too high compared to competitors.,1,unknown
5,Customer support never replies on time.,1,web
6,Had to contact support three times for the same issue.,1,email
7,"Excellent customer service, resolved my issue fast.",5,web
8,The mobile app is buggy and freezes often.,1,app
9,App crashed and I lost my open position.,1,app
10,"The app is so slow to load charts, very frustrating.",2,app
12,Good variety of trading instruments available.,5,app
13,"Deposit was instant, very impressed.",5,web
14,"Simple onboarding, verification was quick for me.",4,email
15,App performance has improved a lot recently.,3,web
16,Charts lag a lot during high volatility.,2,app
17,Trading fees are fair and transparent.,4,app
18,The verification process was confusing and slow.,3,app
19,"Smooth experience overall, no complaints.",5,app
20,Support team was helpful when I had an issue.,4,app
21,"Terrible experience, app crashed twice today.",1,email
22,"I love the interface, very clean and simple.",5,app
23,"Great charting tools, very detailed.",5,app
24,"Withdrawal took way too long, almost a week.",1,web
25,"Support wait times are unacceptable, waited 2 hours.",2,web
26,"Great platform, easy to use and fast execution.",5,app
27,App keeps crashing when I open the trading screen.,1,app
28,Really happy with the fast deposit process.,5,web
29,Withdrawal fees are too high compared to competitors.,3,web
30,Customer support never replies on time.,1,app
31,Had to contact support three times for the same issue.,1,app
32,"Excellent customer service, resolved my issue fast.",5,web
33,The mobile app is buggy and freezes often.,3,app
34,App crashed and I lost my open position.,1,app
35,"The app is so slow to load charts, very frustrating.",3,web
36,"Withdrawal process needs improvement, too slow.",2,web
37,Good variety of trading instruments available.,4,app
38,"Deposit was instant, very impressed.",5,app
39,"Simple onboarding, verification was quick for me.",4,web
40,App performance has improved a lot recently.,4,app
41,Charts lag a lot during high volatility.,3,app
42,Trading fees are fair and transparent.,4,app
43,The verification process was confusing and slow.,1,app
44,"Smooth experience overall, no complaints.",5,app
45,Support team was helpful when I had an issue.,3,web
46,"Terrible experience, app crashed twice today.",1,app
47,"I love the interface, very clean and simple.",5,app
48,"Great charting tools, very detailed.",5,app
49,"Withdrawal took way too long, almost a week.",1,web
50,"Support wait times are unacceptable, waited 2 hours.",1,app
51,"Great platform, easy to use and fast execution.",5,app
52,App keeps crashing when I open the trading screen.,2,app
53,Really happy with the fast deposit process.,4,app
54,Withdrawal fees are too high compared to competitors.,3,app
55,Customer support never replies on time.,2,app
56,Had to contact support three times for the same issue.,2,web
57,"Excellent customer service, resolved my issue fast.",5,app
58,The mobile app is buggy and freezes often.,2,app
59,App crashed and I lost my open position.,1,web
60,"The app is so slow to load charts, very frustrating.",1,app
